original_relpath,size,mtime_ns,out_name
AGENDA DOCENTE SECUNDARIO/IMG_3521.HEIC,1493104,1761342572000000000,agenda-docente-secundario_0001.webp
AGENDA DOCENTE SECUNDARIO/IMG_3522.HEIC,1492729,1761342579000000000,agenda-docente-secundario_0002.webp
AGENDA DOCENTE SECUNDARIO/IMG_3523.HEIC,1494203,1761342593000000000,agenda-docente-secundario_0003.webp
AGENDA DOCENTE SECUNDARIO/IMG_3524.HEIC,2483938,1761342791000000000,agenda-docente-secundario_0004.webp
AGENDA DOCENTE SECUNDARIO/IMG_3525.HEIC,1483742,1761342794000000000,agenda-docente-secundario_0005.webp
AGENDA DOCENTE SECUNDARIO/IMG_3526.HEIC,1519717,1761342801000000000,agenda-docente-secundario_0006.webp
AGENDA DOCENTE SECUNDARIO/IMG_3527.HEIC,1515375,1761342817000000000,agenda-docente-secundario_0007.webp
AGENDA DOCENTE SECUNDARIO/IMG_3528.HEIC,1694160,1761342828000000000,agenda-docente-secundario_0008.webp
AGENDA DOCENTE SECUNDARIO/IMG_3529.HEIC,1622964,1761342834000000000,agenda-docente-secundario_0009.webp
AGENDA DOCENTE SECUNDARIO/IMG_3530.HEIC,1831341,1761342842000000000,agenda-docente-secundario_0010.webp
AGENDA DOCENTE SECUNDARIO/IMG_3531.HEIC,1663009,1761342848000000000,agenda-docente-secundario_0011.webp
AGENDA DOCENTE SECUNDARIO/IMG_3532.HEIC,1645689,1761342855000000000,agenda-docente-secundario_0012.webp
AGENDA DOCENTE SECUNDARIO/IMG_3533.HEIC,1646112,1761342860000000000,agenda-docente-secundario_0013.webp
AGENDA DOCENTE SECUNDARIO/IMG_3534.HEIC,1651018,1761342865000000000,agenda-docente-secundario_0014.webp
AGENDA DOCENTE SECUNDARIO/IMG_3535.HEIC,1608130,1761342870000000000,agenda-docente-secundario_0015.webp
AGENDA DOCENTE SECUNDARIO/IMG_3536.HEIC,1621147,1761342878000000000,agenda-docente-secundario_0016.webp
AGENDA DOCENTE SECUNDARIO/IMG_3537.HEIC,1661558,1761342883000000000,agenda-docente-secundario_0017.webp
AGENDA DOCENTE SECUNDARIO/IMG_3538.HEIC,1682119,1761342902000000000,agenda-docente-secundario_0018.webp
AGENDA DOCENTE SECUNDARIO/IMG_3539.HEIC,1681454,1761342907000000000,agenda-docente-secundario_0019.webp
AGENDA DOCENTE SECUNDARIO/IMG_3540.HEIC,1764792,1761342913000000000,agenda-docente-secundario_0020.webp
AGENDA DOCENTE SECUNDARIO/IMG_3541.HEIC,1818357,1761342918000000000,agenda-docente-secundario_0021.webp
AGENDA DOCENTE SECUNDARIO/IMG_3542.HEIC,1721471,1761342929000000000,agenda-docente-secundario_0022.webp
AGENDA DOCENTE SECUNDARIO/IMG_3543.HEIC,1868847,1761342933000000000,agenda-docente-secundario_0023.webp
AGENDA DOCENTE SECUNDARIO/IMG_3544.HEIC,1675607,1761342976000000000,agenda-docente-secundario_0024.webp
AGENDA DOCENTE SECUNDARIO/IMG_3545.HEIC,1738882,1761342980000000000,agenda-docente-secundario_0025.webp
AGENDA DOCENTE SECUNDARIO/IMG_3546.HEIC,1710195,1761342985000000000,agenda-docente-secundario_0026.webp
AGENDA DOCENTE SECUNDARIO/IMG_3547.HEIC,1570105,1761342989000000000,agenda-docente-secundario_0027.webp
AGENDA DOCENTE SECUNDARIO/IMG_3548.HEIC,1651732,1761343014000000000,agenda-docente-secundario_0028.webp
AGENDA DOCENTE SECUNDARIO/IMG_3549.HEIC,1588536,1761343021000000000,agenda-docente-secundario_0029.webp
AGENDA DOCENTE SECUNDARIO/IMG_3550.HEIC,1783372,1761343036000000000,agenda-docente-secundario_0030.webp
AGENDA DOCENTE SECUNDARIO/IMG_3551.HEIC,1554921,1761343041000000000,agenda-docente-secundario_0031.webp
AGENDA SEMANAL/IMG_2347.HEIC,3453302,1758906099000000000,agenda-semanal_0001.webp
