original_relpath,size,mtime_ns,out_name
AGENDA 2 DIAS POR HOJA/1a.png,1725197,1762618230804595200,agenda-2-dias-por-hoja_0001.webp
AGENDA 2 DIAS POR HOJA/IMG_3879.HEIC,2895637,1762539523079665300,agenda-2-dias-por-hoja_0002.webp
AGENDA 2 DIAS POR HOJA/IMG_3882.HEIC,3098681,1762539522872708800,agenda-2-dias-por-hoja_0003.webp
AGENDA 2 DIAS POR HOJA/IMG_3883.HEIC,3416127,1762539523275152000,agenda-2-dias-por-hoja_0004.webp
AGENDA 2 DIAS POR HOJA/IMG_3884.HEIC,3461306,1762539523207028600,agenda-2-dias-por-hoja_0005.webp
AGENDA 2 DIAS POR HOJA/IMG_3885.HEIC,3506671,1762539523592360800,agenda-2-dias-por-hoja_0006.webp
AGENDA 2 DIAS POR HOJA/IMG_3886.HEIC,3484252,1762539523720487900,agenda-2-dias-por-hoja_0007.webp
AGENDA 2 DIAS POR HOJA/IMG_3887.HEIC,3479596,1762539523782416900,agenda-2-dias-por-hoja_0008.webp
AGENDA 2 DIAS POR HOJA/IMG_3888.HEIC,3533793,1762539523465675800,agenda-2-dias-por-hoja_0009.webp
AGENDA 2 DIAS POR HOJA/IMG_3889.HEIC,3450837,1762539523024286600,agenda-2-dias-por-hoja_0010.webp
AGENDA 2 DIAS POR HOJA/IMG_3890.HEIC,3533119,1762539522959706100,agenda-2-dias-por-hoja_0011.webp
AGENDA 2 DIAS POR HOJA/IMG_3891.HEIC,3255906,1762539523139993800,agenda-2-dias-por-hoja_0012.webp
AGENDA 2 DIAS POR HOJA/IMG_3892.HEIC,3244423,1762539523528022900,agenda-2-dias-por-hoja_0013.webp
AGENDA 2 DIAS POR HOJA/IMG_3893.HEIC,3452436,1762539523398853900,agenda-2-dias-por-hoja_0014.webp
AGENDA 2 DIAS POR HOJA/IMG_3894.HEIC,3126196,1762539523334035000,agenda-2-dias-por-hoja_0015.webp
AGENDA 2 DIAS POR HOJA/video si o si.MP4,38410737,1762539275142172700,agenda-2-dias-por-hoja_0016.mp4
AGENDA DOCENTE INICIAL/0 a cuadernoDocente.png,1711280,1762621490749348900,agenda-docente-inicial_0001.webp
AGENDA DOCENTE INICIAL/0 VIDEO.MP4,56973184,1762540732798304600,agenda-docente-inicial_0002.mp4
AGENDA DOCENTE INICIAL/1.HEIC,2907256,1762540730935044800,agenda-docente-inicial_0003.webp
AGENDA DOCENTE INICIAL/10.HEIC,3199387,1762540731221411400,agenda-docente-inicial_0004.webp
AGENDA DOCENTE INICIAL/11.HEIC,3406619,1762540730700138500,agenda-docente-inicial_0005.webp
AGENDA DOCENTE INICIAL/12.HEIC,3148485,1762540730875456300,agenda-docente-inicial_0006.webp
